Point ID,arc_length,B_0,B_1,B_2,B_Magnitude,p,pB,Points_0,Points_1,Points_2,Points_Magnitude,rho,T,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
71,0.071,0.75,1,2.52084e-19,1.25,1,-1.7286e-17,0.071,0,0,0.071,0.999645,0.00348432,2.848e-10,-1.32531e-10,-1.369e-18,3.14126e-10,1
72,0.072,0.75,1,7.87823e-20,1.25,1,-1.97167e-17,0.072,0,0,0.072,0.999645,0.00348432,2.52828e-10,-1.23544e-10,-1.7178e-18,2.81399e-10,1
73,0.073,0.75,1,2.32072e-19,1.25,1,-1.00003e-16,0.073,0,0,0.073,0.999645,0.00348432,2.57401e-10,-1.17979e-10,-2.05641e-18,2.83151e-10,1
74,0.074,0.75,1,4.39603e-19,1.25,1,-3.36526e-16,0.074,0,0,0.074,0.999645,0.00348432,2.75713e-10,-1.26538e-10,-1.75103e-18,3.03363e-10,1
75,0.075,0.75,1,4.21177e-19,1.25,1,-4.40047e-16,0.075,0,0,0.075,0.999645,0.00348432,2.97812e-10,-1.47887e-10,-1.43977e-18,3.32509e-10,1
76,0.076,0.75,1,4.28609e-19,1.25,1,-2.28286e-16,0.076,0,0,0.076,0.999645,0.00348432,3.14554e-10,-1.66664e-10,-1.75747e-18,3.55979e-10,1
77,0.077,0.75,1,7.57221e-19,1.25,1,-8.88219e-17,0.077,0,0,0.077,0.999645,0.00348432,3.33763e-10,-1.7394e-10,-2.171e-18,3.76368e-10,1
78,0.078,0.75,1,1.27828e-18,1.25,1,-1.35014e-16,0.078,0,0,0.078,0.999645,0.00348432,3.66311e-10,-1.75083e-10,-2.17309e-18,4.06002e-10,1
79,0.079,0.75,1,1.65677e-18,1.25,1,-1.31795e-16,0.079,0,0,0.079,0.999645,0.00348432,4.01737e-10,-1.76474e-10,-1.75816e-18,4.38789e-10,1
80,0.08,0.75,1,1.66475e-18,1.25,1,-5.71022e-17,0.08,0,0,0.08,0.999645,0.00348432,4.41497e-10,-1.745e-10,-1.33136e-18,4.74731e-10,1
81,0.081,0.75,1,1.29926e-18,1.25,1,9.23371e-17,0.081,0,0,0.081,0.999645,0.00348432,4.47036e-10,-1.62481e-10,-1.22758e-18,4.75649e-10,1
82,0.082,0.75,1,1.04595e-18,1.25,1,1.97715e-16,0.082,0,0,0.082,0.999645,0.00348432,4.12144e-10,-1.39015e-10,-1.53335e-18,4.34957e-10,1
83,0.083,0.75,1,1.20635e-18,1.25,1,2.51146e-16,0.083,0,0,0.083,0.999645,0.00348432,4.0333e-10,-1.13091e-10,-1.84422e-18,4.18885e-10,1
84,0.084,0.75,1,1.38095e-18,1.25,1,4.25607e-16,0.084,0,0,0.084,0.999645,0.00348432,4.10595e-10,-1.00464e-10,-1.5038e-18,4.22707e-10,1
85,0.085,0.75,1,1.26512e-18,1.25,1,5.26098e-16,0.085,0,0,0.085,0.999645,0.00348432,3.80807e-10,-1.06978e-10,-1.08168e-18,3.95548e-10,1
86,0.086,0.75,1,9.78767e-19,1.25,1,3.09137e-16,0.086,0,0,0.086,0.999645,0.00348432,3.47445e-10,-1.22418e-10,-1.15469e-18,3.68381e-10,1
87,0.087,0.75,1,1.019e-18,1.25,1,9.67735e-17,0.087,0,0,0.087,0.999645,0.00348432,3.54597e-10,-1.27226e-10,-1.63739e-18,3.7673e-10,1
88,0.088,0.75,1,1.4984e-18,1.25,1,2.45472e-16,0.088,0,0,0.088,0.999645,0.00348432,3.78534e-10,-1.21841e-10,-2.04475e-18,3.97659e-10,1
89,0.089,0.75,1,1.98305e-18,1.25,1,5.01021e-16,0.089,0,0,0.089,0.999645,0.00348432,3.93112e-10,-1.19743e-10,-1.70514e-18,4.10945e-10,1
90,0.09,0.75,1,2.06375e-18,1.25,1,6.17337e-16,0.09,0,0,0.09,0.999645,0.00348432,4.00868e-10,-1.17644e-10,-1.11305e-18,4.17774e-10,1
91,0.091,0.75,1,1.80312e-18,1.25,1,5.23624e-16,0.091,0,0,0.091,0.999645,0.00348432,3.65032e-10,-1.07778e-10,-9.67843e-19,3.80611e-10,1
92,0.092,0.75,1,1.66739e-18,1.25,1,2.02167e-16,0.092,0,0,0.092,0.999645,0.00348432,3.09071e-10,-9.05483e-11,-1.34377e-18,3.22062e-10,1
93,0.093,0.75,1,1.83111e-18,1.25,1,3.35676e-17,0.093,0,0,0.093,0.999645,0.00348432,3.09795e-10,-7.56218e-11,-1.67991e-18,3.18892e-10,1
94,0.094,0.75,1,1.98945e-18,1.25,1,-2.5261e-17,0.094,0,0,0.094,0.999645,0.00348432,3.45681e-10,-7.52189e-11,-1.30263e-18,3.5377e-10,1
95,0.095,0.75,1,1.82122e-18,1.25,1,-3.13883e-16,0.095,0,0,0.095,0.999645,0.00348432,3.31248e-10,-9.25504e-11,-8.19665e-19,3.43934e-10,1
96,0.096,0.75,1,1.47545e-18,1.25,1,-5.38217e-16,0.096,0,0,0.096,0.999645,0.00348432,2.75197e-10,-1.1694e-10,-8.20135e-19,2.99013e-10,1
97,0.097,0.75,1,1.348e-18,1.25,1,-4.71955e-16,0.097,0,0,0.097,0.999645,0.00348432,2.66682e-10,-1.30366e-10,-1.29187e-18,2.96841e-10,1
98,0.098,0.75,1,1.62005e-18,1.25,1,-3.79889e-16,0.098,0,0,0.098,0.999645,0.00348432,2.84073e-10,-1.22916e-10,-1.71246e-18,3.09525e-10,1
99,0.099,0.75,1,2.03406e-18,1.25,1,-3.78299e-16,0.099,0,0,0.099,0.999645,0.00348432,2.96487e-10,-9.00314e-11,-1.42326e-18,3.09855e-10,1
100,0.1,0.75,1,1.95756e-18,1.25,1,-2.86902e-16,0.1,0,0,0.1,0.999645,0.00348432,3.33426e-10,-4.27585e-11,-9.65702e-19,3.36157e-10,1
101,0.101,0.75,1,1.51801e-18,1.25,1,-1.81503e-16,0.101,0,0,0.101,0.999645,0.00348432,3.35554e-10,-8.54689e-12,-8.50307e-19,3.35663e-10,1
102,0.102,0.75,1,1.33331e-18,1.25,1,-1.9154e-16,0.102,0,0,0.102,0.999645,0.00348432,3.04799e-10,1.46283e-11,-1.21344e-18,3.0515e-10,1
103,0.103,0.75,1,1.47567e-18,1.25,1,-1.77874e-16,0.103,0,0,0.103,0.999645,0.00348432,2.97169e-10,4.00734e-11,-1.56719e-18,2.99859e-10,1
104,0.104,0.75,1,1.63934e-18,1.25,1,-1.86537e-16,0.104,0,0,0.104,0.999645,0.00348432,2.78044e-10,6.0107e-11,-1.23863e-18,2.84467e-10,1
105,0.105,0.75,1,1.48702e-18,1.25,1,-1.71218e-16,0.105,0,0,0.105,0.999645,0.00348432,2.26096e-10,6.56632e-11,-8.51312e-19,2.35438e-10,1
106,0.106,0.75,1,1.14188e-18,1.25,1,-1.24392e-16,0.106,0,0,0.106,0.999645,0.00348432,1.61929e-10,5.59195e-11,-8.8818e-19,1.71313e-10,1
107,0.107,0.75,1,9.81128e-19,1.25,1,-4.62848e-17,0.107,0,0,0.107,0.999645,0.00348432,1.35588e-10,3.71787e-11,-1.37391e-18,1.40593e-10,1
108,0.108,0.75,1,1.19533e-18,1.25,1,1.1607e-16,0.108,0,0,0.108,0.999645,0.00348432,1.46966e-10,1.81432e-11,-1.8556e-18,1.48082e-10,1
109,0.109,0.75,1,1.5398e-18,1.25,1,2.43686e-16,0.109,0,0,0.109,0.999645,0.00348432,1.58486e-10,-2.87981e-12,-1.5552e-18,1.58512e-10,1
110,0.11,0.75,1,1.5198e-18,1.25,1,3.58619e-16,0.11,0,0,0.11,0.999645,0.00348432,1.72025e-10,-3.02009e-11,-1.03799e-18,1.74656e-10,1
111,0.111,0.75,1,1.1499e-18,1.25,1,3.15232e-16,0.111,0,0,0.111,0.999645,0.00348432,1.78297e-10,-5.75698e-11,-1.03328e-18,1.87361e-10,1
112,0.112,0.75,1,9.78581e-19,1.25,1,2.18373e-16,0.112,0,0,0.112,0.999645,0.00348432,1.69505e-10,-7.63528e-11,-1.44285e-18,1.85908e-10,1
113,0.113,0.75,1,1.15753e-18,1.25,1,4.07602e-16,0.113,0,0,0.113,0.999645,0.00348432,1.71194e-10,-8.26625e-11,-1.75296e-18,1.90107e-10,1
114,0.114,0.75,1,1.28219e-18,1.25,1,5.03928e-16,0.114,0,0,0.114,0.999645,0.00348432,1.96083e-10,-8.05495e-11,-1.3757e-18,2.11983e-10,1
115,0.115,0.75,1,1.02396e-18,1.25,1,2.64449e-16,0.115,0,0,0.115,0.999645,0.00348432,2.07942e-10,-7.82482e-11,-8.49006e-19,2.22177e-10,1
116,0.116,0.75,1,4.87613e-19,1.25,1,7.55084e-17,0.116,0,0,0.116,0.999645,0.00348432,2.05232e-10,-7.96816e-11,-6.70572e-19,2.20157e-10,1
117,0.117,0.75,1,-9.4264e-20,1.25,1,-1.54859e-16,0.117,0,0,0.117,0.999645,0.00348432,2.16295e-10,-8.43819e-11,-6.82781e-19,2.32172e-10,1
118,0.118,0.75,1,-4.98252e-19,1.25,1,-3.27682e-16,0.118,0,0,0.118,0.999645,0.00348432,2.12501e-10,-9.06237e-11,-1.03766e-18,2.31018e-10,1
