Point ID,Ma,mag(U),p,Points_0,Points_1,Points_2,Points_Magnitude,T
112,0.622896,207.847,103274,0.779819,0,0.166667,0.797431,277.105
113,0.626223,208.866,103018,0.789709,0,0.166667,0.807105,276.862
114,0.629281,209.803,102789,0.800019,0,0.166667,0.817195,276.642
115,0.632092,210.665,102585,0.810766,0,0.166667,0.82772,276.445
116,0.634678,211.459,102405,0.821971,0,0.166667,0.838698,276.268
117,0.637055,212.19,102246,0.833651,0,0.166667,0.850148,276.11
118,0.63924,212.863,102104,0.845828,0,0.166667,0.862092,275.966
119,0.641242,213.479,101978,0.858522,0,0.166667,0.87455,275.836
120,0.643077,214.045,101866,0.871755,0,0.166667,0.887544,275.721
121,0.644763,214.567,101768,0.88555,0,0.166667,0.901098,275.619
122,0.646315,215.047,101681,0.899932,0,0.166667,0.915235,275.527
123,0.647747,215.491,101604,0.914924,0,0.166667,0.929981,275.445
124,0.649081,215.906,101535,0.930554,0,0.166667,0.945361,275.369
125,0.650352,216.302,101474,0.946847,0,0.166667,0.961404,275.301
126,0.651543,216.666,101412,0.963833,0,0.166667,0.978137,275.221
127,0.652931,217.098,101436,0.98154,0,0.166667,0.99559,275.146
128,0.653747,217.359,101496,1,0,0.166667,1.01379,275.119
